title,released,genres,description,link
Non-Stop,2014,action film/disaster film/mystery film/thriller film/detective film,"use of violence as a form of political, economic and religious coercion/aviation occurrence involving serious injury, death, or destruction of aircraft/human activity involving mechanical flight in atmosphere",http://www.wikidata.org/entity/Q2855777
Nymphomaniac,2014,drama film/art film/LGBT-related film,state of a person who has never engaged in sexual intercourse/hypersexuality,http://www.wikidata.org/entity/Q3346699
Obvious Child,2014,drama film/comedy drama/romantic comedy,intentional ending of a pregnancy,http://www.wikidata.org/entity/Q16253773
Of Men and War,2014,documentary film,mental disorder that developed after experiencing or witnessing a terrifying or life-threatening event,http://www.wikidata.org/entity/Q18523850
On Any Sunday: The Next Chapter,2014,documentary film,racing sport using motorcycles,http://www.wikidata.org/entity/Q100376481
One Little Pill,2014,documentary film,broad term for problems with alcohol/prevention of disease and promotion of wellbeing of humans and animals,http://www.wikidata.org/entity/Q18171043
Only Lovers Left Alive,2014,drama film/musical film/romance film/vampire film,mythological or folkloric creature,http://www.wikidata.org/entity/Q3352751
Operación Palace,2014,pseudo-documentary,February 1981 coup d'état attempt in Spain,http://www.wikidata.org/entity/Q16613799
"Out of Mind, Out of Sight",2014,documentary film,level of psychological well-being,http://www.wikidata.org/entity/Q17060820
Out of the Furnace,2014,drama film/prison film/thriller film,harmful action in response to a grievance,http://www.wikidata.org/entity/Q3061288
Over Your Dead Body,2014,horror film,entites or phenomena that are thought to be beyond the laws of nature,http://www.wikidata.org/entity/Q17052913
Paddington,2014,comedy film/family film/cinematic fairy tale/film based on literature,"group of people affiliated by consanguinity, law, affinity, or co-residence/pattern of human activity and symbolism associated with the United Kingdom and its people/movement of people into another country or region to which they are not native/characteristics, personality traits, and viewpoints associated with cities and urban areas/human emotional need to be an accepted member of a group/contemporary living",http://www.wikidata.org/entity/Q15055478
Paranormal Activity: The Marked Ones,2014,horror film/found footage,"entites or phenomena that are thought to be beyond the laws of nature/mythological and paranormal, often malevolent being prevalent in religion, occultism, mythology, and folklore; a broad and vague concept incompatible with modern science/house or other building often perceived as being inhabited by disembodied spirits of the deceased",http://www.wikidata.org/entity/Q15120318
Paris or Perish,2014,comedy film,movement of people for resettlement,http://www.wikidata.org/entity/Q3365358
Pawn Sacrifice,2014,drama film/biographical film,1947–1991 tension between the Soviet Union and the United States and their respective allies,http://www.wikidata.org/entity/Q15409303
Pekka – Inside the Mind of a School Shooter,2014,documentary film,"School shooting in Tuusula, Finland",http://www.wikidata.org/entity/Q19708451
"Pep Gimeno 'Botifarra', el cant de les arrels",2014,documentary film/biographical film,Musician,http://www.wikidata.org/entity/Q110952556
Phone Swap,2014,comedy film/romance film,sovereign state in West Africa,http://www.wikidata.org/entity/Q16734019
Point and Shoot,2014,documentary film,person who takes photographs,http://www.wikidata.org/entity/Q19580745
Pompeii,2014,drama film/action film/adventure film/disaster film,combatant who entertained audiences in the Roman Republic and Roman Empire n/major eruption of stratovolcano in southern Italy,http://www.wikidata.org/entity/Q3396071
Pride,2014,drama film/comedy film/LGBT-related film,major labor strike in the United Kingdom/alliance of lesbians and gay men who came together to support the striking British miners during the year long UK miners strike of 1984–1985,http://www.wikidata.org/entity/Q16937096
Qu'est-ce qu'on a fait au Bon Dieu?,2014,comedy film,"movement of people for resettlement/practice of allowing or permitting a thing, person, or idea of which one disapproves/marriage between spouses professing different religions",http://www.wikidata.org/entity/Q16671761
Qui a tué Jaurès ?,2014,documentary film/docufiction film,French / Occitan Socialist leader (1859-1914),http://www.wikidata.org/entity/Q17276455
Reaching for the Moon,2014,drama film/biographical film/LGBT-related film,American poet/Brazilian architect and urban planner,http://www.wikidata.org/entity/Q14783869
Rec 4: Apocalypse,2014,horror film/zombie film,"entites or phenomena that are thought to be beyond the laws of nature/mythological and paranormal, often malevolent being prevalent in religion, occultism, mythology, and folklore; a broad and vague concept incompatible with modern science",http://www.wikidata.org/entity/Q3928247
Red Army,2014,documentary film/biographical film/sport film,1947–1991 tension between the Soviet Union and the United States and their respective allies/former men's national ice hockey team representing the Soviet Union,http://www.wikidata.org/entity/Q18127471
Red Sky,2014,action film,human activity involving mechanical flight in atmosphere,http://www.wikidata.org/entity/Q3422777
Richard the Lionheart,2014,adventure film,King of England (reigned 1189–99),http://www.wikidata.org/entity/Q16932095
Run Boy Run,2014,drama film/war film,1939–1945 global conflict,http://www.wikidata.org/entity/Q16494458
Sabotage,2014,action film/crime film/crime thriller/film based on literature,United States federal law enforcement agency/criminal organizations developed with the primary purpose of promoting and controlling drug trafficking operations,http://www.wikidata.org/entity/Q797678
Seduced and Abandoned,2014,documentary film,comprises the technological and commercial institutions of filmmaking,http://www.wikidata.org/entity/Q15731912
See No Evil 2,2014,horror film/slasher film,individual who has killed three or more people over a period of more than a month,http://www.wikidata.org/entity/Q17018408
She's Beautiful When She's Angry,2014,documentary film,period of feminist activity and thought that first began in the early 1960s in the United States,http://www.wikidata.org/entity/Q24964584
Showrunners: The Art of Running a TV Show,2014,documentary film,person who is responsible for the day-to-day operation of a television show,http://www.wikidata.org/entity/Q111630125
Silent Summer,2014,drama film,medical condition leading to loss of voice,http://www.wikidata.org/entity/Q30636015
"Silvered Water, Syria Self-Portrait",2014,documentary film,Protests and revolutions in the Arab world in the 2010s,http://www.wikidata.org/entity/Q16910896
Sin City: A Dame to Kill For,2014,drama film/action film/crime film/neo-noir/thriller film/vigilante film,intentional act of causing one's own death/wagering of money on a game of chance or event with an uncertain outcome,http://www.wikidata.org/entity/Q1653396
Sleepless in New York,2014,documentary film,most populous city in the United States/level of psychological well-being,http://www.wikidata.org/entity/Q16658608
Sluizer speaks,2014,documentary film,film director,http://www.wikidata.org/entity/Q19726888
Snowpiercer,2014,drama film/action film/science fiction film/post-apocalyptic film/thriller film/dystopian film,"open resistance against the orders of an established authority that seeks to gain concessions from an oppressive power/mechanisms by which existing cultural forms, values, practices, and shared understandings (i.e., norms) are transmitted from generation to generation/discrimination on the basis of social class/scenario after doomsday/act of being still alive after a threatening or dangerous situation",http://www.wikidata.org/entity/Q492908
Socialism,2014,documentary film,economic system based on social ownership of the means of production,http://www.wikidata.org/entity/Q107623092
